i'm 19 .	j'ai 19 ans .
i'm no expert .	je ne suis pas un expert .
i'm not alone .	je ne suis pas seul .
i'm not alone .	je ne suis pas seule .
i'm not angry !	je ne suis pas en colère !
i'm not angry .	je ne suis pas en colère .
i'm not armed .	je ne suis pas armé .
i'm not armed .	je ne suis pas armée .
i'm not blind .	je ne suis pas aveugle .
i'm not crazy .	je ne suis pas fou .
i'm not crazy .	je ne suis pas folle .
i'm not dying .	je ne suis pas en train de mourir .
i'm not going .	je n'y vais pas .
i'm not going .	je ne m'y rends pas .
i'm not going .	je ne m'en vais pas .
i'm not happy .	je ne suis pas content .
i'm not happy .	je ne suis pas heureux .
i'm not happy .	je ne suis pas heureuse .
i'm not happy .	je ne suis pas contente .
i'm not lying .	je ne suis pas en train de mentir .
i'm not naive .	je ne suis pas naïf .
i'm not naive .	je ne suis pas naïve .
i'm not obese .	je ne suis pas obèse .
i'm not ready .	je ne suis pas prêt .
i'm not ready .	je ne suis pas prête .
i'm not short .	je ne suis pas petite .
i'm not tired .	je ne suis pas fatigué .
i'm not tired .	je ne suis pas fatiguée .
i'm not young .	je ne suis pas jeune .
i'm observant .	je suis observateur .
i'm observant .	je suis observatrice .
i'm observant .	je suis respectueux .
i'm observant .	je suis respectueuse .
i'm plastered .	je suis bourré .
i'm powerless .	je suis désarmé .
i'm powerless .	je suis désarmée .
i'm realistic .	je suis réaliste .
i'm resentful .	j'éprouve du ressentiment .
i'm resilient .	je suis endurant .
i'm resilient .	je suis endurante .
i'm resilient .	je suis tenace .
i'm satisfied .	je suis satisfait .
i'm saying no .	je dis non .
i'm sensitive .	je suis sensible .
i'm so hungry .	j'ai tellement faim .
i'm surprised .	je suis surpris .
i'm surprised .	je suis surprise .
i'm surviving .	je survis .
i'm terrified .	je suis terrifié .
i'm terrified .	je suis terrifiée .
i'm tired now .	je suis fatigué maintenant .
i'm too drunk .	je suis trop saoul .
i'm uninsured .	je ne suis pas assuré .
i'm uninsured .	je ne suis pas assurée .
i'm unmarried .	je suis célibataire .
i'm very cold .	j'ai très froid .
i'm very poor .	je suis très pauvre .
i'm voting no .	je vote non .
i'm your boss .	je suis votre chef .
i'm your boss .	je suis ton chef .
she is french .	elle est française .
she is active .	elle est active .
she is crying .	elle pleure .
she is crying .	elle est en train de pleurer .
she is gentle .	elle est gentille .
she is strong .	elle est forte .
she seems sad .	elle a l'air triste .
they are here .	ils sont là .
they're asian .	ils sont asiatiques .
they're asian .	elles sont asiatiques .
they're alive .	ils sont en vie .
they're angry .	ils sont en colère .
they're angry .	elles sont en colère .
they're armed .	ils sont armés .
they're armed .	elles sont armées .
they're awake .	ils sont éveillés .
they're awake .	elles sont éveillées .
they're brave .	ils sont courageux .
they're brave .	elles sont courageuses .
they're brave .	ils n'ont pas froid aux yeux .
they're broke .	ils sont fauchés .
they're broke .	elles sont fauchées .
they're clean .	ils sont propres .
they're clean .	elles sont propres .
they're crazy .	ils sont fous .
they're crazy .	elles sont folles .
they're drunk .	ils sont saouls .
they're drunk .	elles sont saoules .
they're dying .	ils sont en train de mourir .
they're dying .	elles sont en train de mourir .
they're early .	ils sont en avance .
they're early .	elles sont en avance .
they're happy .	elles sont heureuses .
they're lying .	ils mentent .
they're lying .	elles mentent .
they're small .	ils sont petits .
they're small .	elles sont petites .
they're spies .	ce sont des espions .
they're spies .	ce sont des espionnes .
they're there .	ils sont là .
they're tired .	ils sont fatigués .
they're tired .	elles sont fatiguées .
they're wrong .	ils ont tort !
we are doomed .	nous sommes condamnés .
we're a group .	nous formons un groupe .
we're anxious .	nous sommes anxieux .
we're ashamed .	nous avons honte .
we're baffled .	nous sommes perplexes .
we're careful .	nous sommes prudents .
we're careful .	nous sommes prudentes .
we're certain .	nous sommes certains .
we're certain .	nous sommes certaines .
we're cousins .	nous sommes cousines .
we're dancing .	nous sommes en train de danser .
we're dieting .	nous sommes au régime .
we're engaged .	nous sommes fiancés .
we're fasting .	nous faisons la diète .
we're friends .	nous sommes amis .
we're friends .	nous sommes amies .
we're in love .	nous nous aimons .
we're in love .	nous sommes amoureux .
we're in love .	nous sommes amoureuses .
we're in luck .	nous sommes veinards .
we're in luck .	nous sommes veinardes .
we're in pain .	nous souffrons .
we're in sync .	nous sommes synchronisés .
we're in sync .	nous sommes synchronisées .
we're in town .	nous sommes en ville .
we're jealous .	nous sommes jalouses .
we're kidding .	nous plaisantons .
we're married .	nous sommes mariés .
we're not fit .	nous ne sommes pas en forme .
we're not mad .	nous ne sommes pas fous .
we're not mad .	nous ne sommes pas folles .
we're not old .	nous ne sommes pas vieux .
we're not old .	nous ne sommes pas vieilles .
we're reading .	nous sommes en train de lire .
we're relaxed .	nous sommes détendus .
we're relaxed .	nous sommes détendues .
we're serious .	nous sommes sérieux .
we're serious .	nous sommes sérieuses .
we're shocked .	nous sommes choqués .
we're shocked .	nous sommes choquées .
we're sincere .	nous sommes sincères .
we're sinking .	nous coulons .
we're sinking .	nous sommes en train de couler .
we're sloshed .	nous sommes bourrés .
we're sloshed .	nous sommes bourrées .
we're smashed .	nous sommes bourrés .
we're smashed .	nous sommes bourrées .
we're special .	nous sommes spéciaux .
we're stalled .	nous sommes à l'arrêt .
we're starved .	nous sommes affamés .
we're starved .	nous sommes affamées .
we're staying .	nous restons .
we're stuffed .	nous sommes gavés .
we're stuffed .	nous sommes gavées .
we're stunned .	nous sommes sidérés .
we're stunned .	nous sommes sidérées .
we're through .	nous avons terminé .
we're through .	nous en avons fini .
we're too old .	nous sommes trop vieux .
we're touched .	nous sommes touchés .
we're touched .	nous sommes touchées .
we're trapped !	nous sommes piégés !
we're trapped !	nous sommes piégées !
we're trapped .	nous sommes piégés .
we're trapped .	nous sommes piégées .
we're unhappy .	nous ne sommes pas satisfaits .
we're unhappy .	nous ne sommes pas satisfaites .
we're unlucky .	nous sommes malchanceux .
we're unlucky .	nous sommes malchanceuses .
we're useless .	nous sommes inutiles .
we're waiting .	nous sommes en train d'attendre .
we're wealthy .	nous sommes riches .
we're winners .	nous sommes des gagneurs .
we're winning .	nous sommes en train de gagner .
we're working .	nous sommes en train de travailler .
we're worried .	nous nous faisons du souci .
you are crazy .	tu es fou .
you are drunk !	tu es bourré  !
you are drunk !	tu es saoul  !
you are early .	tu viens tôt .
you are early .	vous êtes matinal .
you are early .	vous êtes matinale .
you are early .	tu es matinal .
you are early .	tu es matinale .
you are early .	tu es en avance .
you are early .	vous êtes en avance .
you are lying .	vous mentez .
you are lying .	vous êtes en train de mentir .
you are lying .	tu es en train de mentir .
you are sharp .	tu es malin .
you are wrong .	vous avez tort .
you are wrong .	tu as tort .
you're a doll !	tu es un amour !
you're a doll !	vous êtes un amour !
you're a liar .	tu es un menteur .
you're a liar .	vous êtes un menteur .
you're a liar .	vous êtes une menteuse .
you're a liar .	tu es une menteuse .
you're a nerd .	tu es un binoclard .
you're a snob .	tu es snob .
you're a snob .	vous êtes snob .
you're biased .	tu es partiale .
you're biased .	tu es partial .
you're boring .	vous m'ennuyez .
you're boring .	tu m'ennuies .
you're bright .	tu es brillant .
you're bright .	tu es brillante .
you're bright .	vous êtes brillant .
you're bright .	vous êtes brillante .
you're bright .	vous êtes brillants .
you're bright .	vous êtes brillantes .
you're clever .	tu es malin .
you're clever .	tu es maline .
you're clever .	vous êtes malin .
you're clever .	vous êtes maline .
you're clever .	vous êtes malins .
you're clever .	vous êtes malines .
you're crafty .	vous êtes rusé .
you're crafty .	tu es rusé .
you're crafty .	tu es rusée .
you're crafty .	vous êtes rusés .
you're crafty .	vous êtes rusée .
you're crafty .	vous êtes rusées .
you're crafty .	tu es astucieux .
you're crafty .	tu es astucieuse .
you're crafty .	vous êtes astucieux .
you're crafty .	vous êtes astucieuse .
you're creepy .	tu es sinistre .
you're creepy .	vous êtes sinistre .
you're creepy .	vous êtes sinistres .
you're famous .	tu es connu .
you're famous .	tu es connue .
you're famous .	vous êtes connu .
you're famous .	vous êtes connus .
you're famous .	vous êtes connue .
you're famous .	vous êtes connues .
you're greedy .	tu es avide .
you're greedy .	vous êtes avide .
you're greedy .	vous êtes avides .
you're grumpy .	tu es bougon .
you're grumpy .	tu es bougonne .
you're grumpy .	tu es grognon .
you're grumpy .	vous êtes bougon .
you're grumpy .	vous êtes bougonne .
you're grumpy .	vous êtes grognon .
you're insane .	tu es dingue .
you're joking !	tu plaisantes !
you're joking !	vous plaisantez !
you're loaded .	t'es bourré .
you're loaded .	t'es bourrée .
you're loaded .	t'es plein de fric .
you're loaded .	t'es pleine de fric .
you're losing .	tu es en train de perdre .
you're losing .	vous êtes en train de perdre .
you're no fun .	tu n'es pas drôle .
you're no fun .	vous n'êtes pas drôle .
you're pretty .	tu es jolie .
you're pretty .	vous êtes jolie .
you're single .	tu es célibataire .
you're single .	vous êtes célibataire .
you're skinny .	tu es maigrichonne .
you're skinny .	vous êtes maigrichonne .
you're skinny .	vous êtes maigrichonnes .
you're skinny .	vous êtes maigrichon .
you're skinny .	vous êtes maigrichons .
you're skinny .	tu es maigrichon .
you're sleepy .	tu es endormi .
you're sleepy .	tu es endormie .
you're sleepy .	vous êtes endormi .
you're sleepy .	vous êtes endormis .
you're sleepy .	vous êtes endormie .
you're sleepy .	vous êtes endormies .
you're sneaky .	tu es sournois .
you're sneaky .	tu es sournoise .
you're sneaky .	vous êtes sournois .
you're sneaky .	vous êtes sournoise .
you're sneaky .	vous êtes sournoises .
you're stupid .	tu es idiote .
you're unfair .	tu es injuste .
he is american .	il est américain .
he is canadian .	il est canadien .
he is japanese .	il est japonais .
he is bankrupt .	il est en faillite .
he is outgoing .	il est ouvert .
he is outgoing .	il est sociable .
he is outgoing .	il est extraverti .
he is powerful .	il est puissant .
he scolded her .	il la gronda .
he scolded her .	il l'a grondée .
he seems angry .	il a l'air en colère .
he seems happy .	il semble heureux .
he seems happy .	il paraît heureux .
he seems happy .	il a l'air heureux .
he seems tired .	il a l'air fatigué .
he sells fruit .	il vend des fruits .
he should come .	il devrait arriver .
he slapped her .	il l'a giflée .
he surrendered .	il s'est rendu .
i am hungarian .	je suis hongrois .
i am exhausted .	je suis épuisée .
i am exhausted .	je suis épuisé .
i am exhausted .	je suis vanné .
i am exhausted .	je suis vannée .
i am exhausted .	je suis fourbu .
i am exhausted .	je suis crevé .
i'm a diabetic .	je suis diabétique .
i'm a musician .	je suis musicien .
i'm a musician .	je suis musicienne .
i'm a salesman .	je suis un vendeur .
i'm afraid not .	j'ai bien peur que non .
i'm afraid not .	je crains que non .
i'm against it .	je suis contre .
i'm all thumbs .	je suis maladroit .
i'm astonished .	je suis stupéfait .
i'm astonished .	je suis stupéfaite .
i'm behind him .	je suis derrière lui .
i'm being used .	on m'utilise .
i'm contagious .	je suis contagieux .
i'm contagious .	je suis contagieuse .
i'm dead tired .	je suis mort de fatigue .
i'm dehydrated .	je suis déshydraté .
i'm dehydrated .	je suis déshydratée .
i'm dependable .	je suis fiable .
i'm dependable .	on peut compter sur moi .
i'm devastated .	je suis anéanti .
i'm devastated .	je suis anéantie .
i'm doing well .	je vais bien .
i'm downstairs .	je suis en bas .
i'm eating now .	je suis en train de manger .
i'm exercising .	je suis en train de m'entraîner .
i'm farsighted .	je vois loin .
i'm fascinated .	je suis fasciné .
i'm fascinated .	je suis fascinée .
i'm firing you .	je te vire .
i'm firing you .	je vous vire .
i'm free today .	je suis libre aujourd'hui .
i'm from kyoto .	je viens de kyoto .
i'm from kyoto .	je suis de kyoto .
i'm from tokyo .	je viens de tokyo .
i'm going back .	j'y retourne .
i'm going bald .	je deviens chauve .
i'm happy here .	je suis heureux, ici .
i'm happy here .	je suis heureuse, ici .
i'm happy, too .	je suis également heureux .
i'm happy, too .	je suis également heureuse .
i'm happy, too .	je suis heureux, moi aussi .
i'm happy, too .	je suis heureuse, moi aussi .
i'm having fun .	je m'amuse .
i'm illiterate .	je suis analphabète .
i'm interested .	je suis intéressé .
i'm interested .	je suis intéressée .
i'm just tired .	je suis seulement fatigué .
i'm just tired .	je suis simplement fatigué .
i'm just tired .	je suis seulement fatiguée .
i'm just tired .	je suis simplement fatiguée .
i'm making tea .	je prépare le thé .
i'm meditating .	je suis en train de méditer .
i'm methodical .	je suis méthodique .
i'm no quitter .	je ne baisse pas facilement les bras .
i'm no quitter .	je n'abandonne pas facilement .
i'm no quitter .	je n'abandonne pas si facilement .
i'm not amused .	ça ne m'amuse pas .
i'm not asleep .	je ne suis pas endormi .
i'm not asleep .	je ne suis pas endormie .
i'm not bitter .	je ne suis pas amer .
i'm not bitter .	je ne suis pas amère .
i'm not cranky .	je ne suis pas grincheux .
i'm not cranky .	je ne suis pas grincheuse .
i'm not crying .	je ne pleure pas .
i'm not guilty .	je ne suis pas coupable .
i'm not insane .	je ne suis pas fou .
i'm not insane .	je ne suis pas folle .
i'm not joking .	je ne blague pas .
i'm not joking .	je ne plaisante pas .
i'm not lonely .	je ne me sens pas seul .
i'm not normal .	je ne suis pas normal .
i'm not normal .	je ne suis pas normale .
i'm not pretty .	je ne suis pas jolie .
i'm not racist .	je ne suis pas raciste .
i'm not scared .	ça ne me fait pas peur .
i'm not skinny .	je ne suis pas maigrichon .
i'm not skinny .	je ne suis pas maigrichonne .
i'm not sleepy .	je n'ai pas sommeil .
i'm not sleepy .	je ne suis pas endormi .
i'm not strong .	je ne suis pas fort .
i'm not strong .	je ne suis pas forte .
i'm old enough .	je suis suffisamment grand .
i'm old enough .	je suis suffisamment vieux .
i'm on holiday .	je suis en vacances .
i'm on holiday .	je suis en congés .
i'm optimistic .	je suis optimiste .
i'm prejudiced .	j'ai des préjugés .
i'm really old .	je suis vraiment vieux .
i'm reasonable .	je suis raisonnable .
i'm remodeling .	je suis en train de réaménager .
i'm right here .	je suis juste ici .
i'm so thirsty .	j'ai tellement soif .
i'm so unlucky !	quelle poisse j'ai  !
i'm still busy .	je suis toujours occupé .
i'm still busy .	je suis encore occupée .
i'm still here .	je suis encore ici .
i'm successful .	j'ai du succès .
i'm the killer .	je suis le tueur .
i'm the oldest .	je suis le plus vieux .
i'm the oldest .	je suis la plus vieille .
i'm undressing .	je me déshabille .
i'm undressing .	je me dévêts .
i'm unemployed .	je suis au chômage .
i'm untalented .	je n'ai pas de talent .
i'm untalented .	je suis dépourvu de talent .
i'm untalented .	je suis dépourvue de talent .
i'm vegetarian .	je suis végétarienne .
i'm very happy .	je suis très heureux .
i'm very happy .	je suis très heureuse .
i'm very short .	je suis très petit .
i'm very sorry .	je suis vraiment désolé .
i'm very tired .	je suis très fatigué .
i'm very tired .	je suis fourbu .
i'm very upset .	je suis fort contrarié .
i'm very upset .	je suis fort contrariée .
i'm very upset .	je suis très contrarié .
i'm very upset .	je suis très contrariée .
i'm wide awake .	je suis tout à fait éveillé .
i'm wide awake .	je suis tout à fait éveillée .
she is awkward .	elle est maladroite .
she is dieting .	elle est au régime .
she is talking .	elle est en train de s'exprimer .
she isn't poor .	elle n'est pas pauvre .
she seems rich .	elle semble riche .
she sings well .	elle chante bien .
she smells bad .	elle pue .
she smells bad .	elle sent mauvais .
she swims well .	elle nage bien .
they are alone .	elles sont seules .
they are alone .	ils sont seuls .
they are bored .	ils s'ennuient .
they are bored .	elles s'ennuient .
they're asleep .	ils sont endormis .
they're asleep .	elles sont endormies .
they're babies .	ce sont des bébés .
they're boring .	ils sont ennuyeux .
they're boring .	elles sont ennuyeuses .
they're coming .	ils arrivent .
they're coming .	elles arrivent .
they're coming .	ils sont en train d'arriver .
they're coming .	elles sont en train d'arriver .
they're idiots .	ils sont idiots .
they're inside .	ils sont à l'intérieur .
they're strong .	ils sont forts .
they're strong .	elles sont fortes .
we're a couple .	nous sommes en couple .
we're a family .	nous sommes une famille .
we're all busy .	nous sommes tous occupés .
we're all busy .	nous sommes toutes occupées .
we're all done .	nous en avons terminé .
we're all done .	nous en avons complètement fini .
we're all ears .	nous sommes toute ouïe .
we're all here .	nous sommes tous là .
we're all here .	nous sommes tous ici .
we're all here .	nous sommes toutes là .
we're all here .	nous sommes toutes ici .
we're all safe .	nous sommes tous en sécurité .
we're all safe .	nous sommes toutes en sécurité .
we're brothers .	nous sommes frères .
we're confused .	nous sommes perplexes .
we're divorced .	nous sommes divorcés .
we're escaping .	nous sommes en train de nous échapper .
we're fighting .	nous sommes en train de nous battre .
we're finished .	nous avons fini .
we're finished .	nous avons terminé .
we're finished .	nous en avons fini .
we're finished .	nous en avons terminé .
we're freezing .	on se gèle .
we're grateful .	nous sommes reconnaissants .
we're grateful .	nous sommes reconnaissantes .
we're helpless .	nous sommes impuissants .
we're helpless .	nous sommes impuissantes .
we're here now .	nous y sommes, actuellement .
we're managing .	nous nous en sortons .
we're not cops .	nous ne sommes pas flics .
we're not cops .	nous ne sommes pas des flics .
we're not done .	nous n'en avons pas fini .
we're not done .	nous n'en avons pas terminé .
we're not free .	nous ne sommes pas libres .
we're not home .	nous ne sommes pas à la maison .
we're not home .	nous ne sommes pas chez nous .
we're not late .	nous ne sommes pas en retard .
we're not lost .	nous ne sommes pas perdus .
we're not lost .	nous ne sommes pas perdues .
we're not open .	nous ne sommes pas ouverts .
we're not open .	nous ne sommes pas ouvertes .
we're not rich .	nous ne sommes pas riches .
we're not safe .	nous ne sommes pas en sécurité .
we're not sure .	nous ne sommes pas sûrs .
we're not sure .	nous ne sommes pas sûres .
we're not sure .	nous n'en sommes pas sûrs .
we're not sure .	nous n'en sommes pas sûres .
we're obedient .	nous sommes obéissants .
we're obedient .	nous sommes obéissantes .
we're partners .	nous sommes partenaires .
we're powerful .	nous sommes puissants .
we're powerful .	nous sommes puissantes .
we're prepared .	nous sommes prêtes .
we're punctual .	nous sommes ponctuels .
we're punctual .	nous sommes ponctuelles .
we're quitting .	nous abandonnons .
we're reliable .	nous sommes fiables .
we're retiring .	nous partons à la retraite .
we're retiring .	nous partons à la pension .
we're ruthless .	nous sommes impitoyables .
we're safe now .	nous sommes désormais en sécurité .
we're so sorry .	nous sommes tellement désolés .
we're standing .	nous sommes debout .
we're starving .	nous mourons de faim .
we're stubborn .	nous sommes têtus .
we're stubborn .	nous sommes têtues .
we're students .	nous sommes étudiants .
we're the best .	nous sommes les meilleurs .
we're the best .	nous sommes les meilleures .
we're the last .	nous sommes les derniers .
we're the last .	nous sommes les dernières .
we're the same .	nous sommes pareils .
we're the same .	nous sommes pareilles .
we're too busy .	nous sommes trop occupés .
we're too busy .	nous sommes trop occupées .
we're too late .	nous sommes trop en retard .
we're too weak .	nous sommes trop faibles .
we're up early .	nous sommes debout tôt .
you are morons .	vous êtes des idiots .
you are morons .	vous êtes des crétins .
you are morons .	vous êtes des attardés mentaux .
you are stupid .	tu es stupide .
you aren't tom .	tu n'es pas tom .
you aren't tom .	vous n'êtes pas tom .
you're a prude .	tu es un puritain .
you're a prude .	vous êtes un puritain .
you're a prude .	tu es une puritaine .
you're a prude .	vous êtes une puritaine .
you're all mad .	vous êtes tous fous .
you're all mad .	vous êtes toutes folles .
you're all set .	vous êtes tous prêts .
you're all set .	vous êtes toutes prêtes .
you're amazing .	tu es incroyable .
you're amazing .	vous êtes incroyable .
you're amazing .	vous êtes incroyables .
you're amusing .	tu me fais marrer .
you're amusing .	vous me faites marrer .
you're awesome .	tu es génial .
you're awesome .	vous êtes génial .
you're awesome .	tu es géniale .
you're awesome .	vous êtes géniale .
you're callous .	tu es insensible .
you're callous .	vous êtes insensible .
you're careful .	tu es prudent .
you're careful .	tu es prudente .
you're correct .	tu as raison .
you're elusive .	vous êtes insaisissable .
you're elusive .	tu es insaisissable .
you're finicky .	tu es tatillon .
you're finicky .	tu es tatillonne .
you're finicky .	vous êtes tatillon .
you're finicky .	vous êtes tatillons .
you're finicky .	vous êtes tatillonne .
you're finicky .	vous êtes tatillonnes .
you're foolish .	tu es imprudent .
you're foolish .	tu es imprudente .
you're foolish .	vous êtes imprudent .
you're foolish .	vous êtes imprudente .
you're foolish .	vous êtes imprudents .
you're foolish .	vous êtes imprudentes .
you're in luck .	tu es veinard .
you're in luck .	tu es veinarde .
you're in luck .	vous êtes veinard .
you're in luck .	vous êtes veinards .
you're in luck .	vous êtes veinarde .
you're in luck .	vous êtes veinardes .
you're invited .	vous êtes invités .
you're invited .	vous êtes invitées .
you're invited .	vous êtes invité .
you're invited .	vous êtes invitée .
you're invited .	tu es invité .
you're invited .	tu es invitée .
you're jealous .	tu es jalouse .
you're kidding !	tu me fais marcher !
you're kidding !	tu plaisantes !
you're kidding !	vous plaisantez !
you're kidding !	vous me faites marcher !
you're my type .	tu es mon type .
you're no help .	tu n'es d'aucune aide .
you're no help .	vous n'êtes d'aucune aide .
you're not bad .	tu n'es pas mal .
you're not bad .	vous n'êtes pas mal .
you're not fat .	tu n'es pas gros .
you're not fat .	vous n'êtes pas gros .
you're not fat .	vous n'êtes pas grosse .
you're not fat .	vous n'êtes pas grosses .
you're not fat .	tu n'es pas grosse .
you're not fit .	tu ne conviens pas .
you're not fit .	vous ne convenez pas .
you're not fit .	tu n'es pas en forme .
you're not fit .	vous n'êtes pas en forme .
you're precise .	vous êtes précis .
you're precise .	tu es précis .
you're precise .	tu es précise .
you're psyched .	t'es remonté .
you're psyched .	t'es remontée .
you're psychic .	tu es voyante .
you're psychic .	tu es voyant .
you're selfish .	tu es égoïste .
you're selfish .	vous êtes égoïste .
you're selfish .	vous êtes égoïstes .
you're sloshed .	t'es bourré .
you're smashed .	t'es bourré .
you're so mean .	vous êtes si méchant .
you're so mean .	tu es si méchant .
you're so mean .	tu es si méchante .
you're so mean .	vous êtes si méchante .
you're so mean .	vous êtes si méchants .
you're so mean .	vous êtes si méchantes .
you're the pro .	c'est vous le professionnel .
you're the pro .	c'est toi le professionnel .
you're through .	tu en as fini .
you're through .	vous en avez fini .
you're through .	vous en avez terminé .
you're useless .	vous êtes inutiles .
you're welcome .	je vous en prie .
you're welcome .	avec plaisir .
you're welcome .	de rien !
you're welcome .	je t'en prie .
you're winning .	tu gagnes .
you're winning .	vous gagnez .
you're winning .	tu l'emportes .
you're winning .	vous l'emportez .
he is depressed .	il est déprimé .
he is unmarried .	il n'est pas marié .
he is unmarried .	il est célibataire .
he said nothing .	il ne dit rien .
he said nothing .	il n'a rien dit .
he seems honest .	il semble être honnête .
he sells whisky .	il vend du whisky .
he sounds angry .	il a l'air en colère .
he studied hard .	il étudiait avec application .
he studied hard .	il étudia avec application .
he swindled her .	il l'a escroquée .
i am undressing .	je me déshabille .
i am undressing .	je me dévêts .
i'm azerbaijani .	je suis azeri .
i'm a foreigner .	je suis un étranger .
i'm a housewife .	je suis femme au foyer .
i'm a masochist .	je suis masochiste .
i'm about ready .	je suis presque prêt .
i'm about ready .	je suis quasiment prêt .
i'm about ready .	je suis presque prête .
i'm about ready .	je suis quasiment prête .
i'm adventurous .	je suis aventureuse .
i'm an engineer .	je suis ingénieur .
i'm begging you .	je vous en supplie .
i'm begging you .	je t'en supplie .
i'm catching on .	je capte .
i'm catching on .	je comprends .
i'm celebrating .	je fais la fête .
i'm celebrating .	j'arrose ça .
i'm cleaned out .	je suis lavé .
i'm color-blind .	je suis daltonien .
i'm comfortable .	je suis à mon aise .
i'm coming home .	j'arrive chez moi .
i'm cooperating .	je suis en train de coopérer .
i'm cracking up .	je craque .
i'm eating here .	je mange ici .
i'm embarrassed .	je suis gêné .
i'm feeling fit .	je me sens en forme .
i'm feeling low .	je me sens abattu .
i'm feeling low .	je me sens abattue .
i'm from brazil .	je viens du brésil .
i'm from brazil .	je suis originaire du brésil .
i'm from france .	je viens de france .
i'm from turkey .	je viens de turquie .
i'm from zambia .	je suis de zambie .
i'm getting old .	je commence à devenir vieux .
i'm getting old .	je vieillis .
i'm getting old .	je me fais vieux .
i'm getting old .	je me fais vieille .
i'm going crazy .	je deviens fou .
i'm going crazy .	je deviens folle .
i'm hardworking .	je suis appliqué .
i'm hardworking .	je suis appliquée .
i'm heartbroken .	j'ai le cœur brisé .
i'm interfering .	je me mêle de ce qui ne me regarde pas .
i'm interfering .	je dérange .
i'm introverted .	je suis introverti .
i'm introverted .	je suis introvertie .
i'm leaving now .	je pars maintenant .
i'm left-handed .	je suis gaucher .
i'm lucky today .	je suis chanceux aujourd'hui .
i'm married now .	je suis marié maintenant .
i'm nearsighted .	je suis myope .
i'm not english .	je ne suis pas anglais .
i'm not english .	je ne suis pas anglaise .
i'm not alarmed .	je ne m'alarme pas .
i'm not arguing .	je ne me dispute pas .
i'm not ashamed .	je n'ai pas honte .
i'm not certain .	je n'en suis pas certain .
i'm not certain .	je n'en suis pas certaine .
i'm not chicken .	je n'ai pas les foies .
i'm not cooking .	je ne suis pas en train de faire la cuisine .
i'm not jealous .	je ne suis pas jalouse .
i'm not kidding .	je ne blague pas .
i'm not leaving .	je ne m'en vais pas .
i'm not married .	je ne suis pas marié .
i'm not married .	je ne suis pas mariée .
i'm not nervous .	je ne suis pas nerveux .
i'm not nervous .	je ne suis pas nerveuse .
i'm not patient .	je ne suis pas patient .
i'm not patient .	je ne suis pas patiente .
i'm not perfect .	je ne suis pas parfait .
i'm not perfect .	je ne suis pas parfaite .
i'm not selfish .	je ne suis pas égoïste .
i'm not staying .	je ne reste pas .
i'm not unhappy .	je ne suis pas malheureux .
i'm not unhappy .	je ne suis pas malheureuse .
i'm not wealthy .	je ne suis pas riche .
i'm not worried .	je ne me fais pas de souci .
i'm now unarmed .	je ne suis pas actuellement armé .
i'm on vacation .	je suis en vacances .
i'm only joking .	je ne fais que blaguer .
i'm persevering .	je persévère .
i'm pretty busy .	je suis plutôt occupé .
i'm pretty busy .	je suis plutôt occupée .
i'm quite happy .	je suis assez heureux .
i'm quite happy .	je suis assez heureuse .
i'm quite tired .	je suis assez fatiguée .
i'm rather busy .	je suis plutôt occupé .
i'm rather busy .	je suis plutôt occupée .
i'm really busy .	je suis vraiment occupé .
i'm really busy .	je suis vraiment occupée .
i'm really cold .	j'ai vraiment froid .
i'm replaceable .	je suis remplaçable .
i'm resourceful .	je suis plein de ressources .
i'm resourceful .	je suis pleine de ressources .
i'm so confused .	je suis tellement confus !
i'm so confused .	je suis tellement perplexe .
i'm spontaneous .	je suis spontanée .
i'm spontaneous .	je suis spontané .
i'm sympathetic .	j'éprouve de la compassion .
i'm the captain .	je suis le capitaine .
i'm the surgeon .	je suis le chirurgien .
i'm the teacher .	je suis le professeur .
i'm the teacher .	je suis la professeur .
i'm truly sorry .	je suis sincèrement désolé .
i'm truly sorry .	je suis sincèrement désolée .
i'm trustworthy .	je suis fiable .
i'm trustworthy .	on peut me faire confiance .
i'm unambitious .	je suis dépourvu d'ambition .
i'm unambitious .	je suis dépourvue d'ambition .
i'm unconvinced .	je ne suis pas convaincu .
i'm unconvinced .	je ne suis pas convaincue .
i'm very hungry .	j'ai une faim de loup .
i'm very hungry .	j'ai très faim .
i'm very hungry .	j'ai la dalle .
i'm very hungry .	j'ai les crocs .
i'm very modest .	je suis fort modeste .
i'm very sleepy .	j'ai très sommeil .
i'm very strict .	je suis très strict .
i'm very strict .	je suis très stricte .
i'm watching tv .	je suis en train de regarder la télévision .
i'm your doctor .	je suis votre médecin .
i'm your friend .	je suis votre ami .
i'm your friend .	je suis votre amie .
i'm your friend .	je suis ton ami .
i'm your friend .	je suis ton amie .
i'm your lawyer .	je suis votre avocat .
i'm your sister .	je suis ta sœur .
i'm your sister .	je suis votre sœur .
she is canadian .	elle est canadienne .
she is japanese .	elle est japonaise .
she is graceful .	elle est gracieuse .
she is powerful .	elle est puissante .
she is stubborn .	elle est obstinée .
she scolded him .	elle le sermonna .
she scolded him .	elle le gronda .
she scolded him .	elle l'a sermonné .
she scolded him .	elle l'a grondé .
she seems happy .	elle paraît heureuse .
she seems tired .	elle a l'air fatigué .
she slapped him .	elle le gifla .
she slapped him .	elle l'a giflé .
she sounded mad .	elle avait l'air folle .
she stabbed him .	elle le poignarda .
